tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3
1.05888,0.000229317,1.97626e-323,0.00210829,-1.07586,-3.10537e-05,9.88131e-324,1.26244e-05
1.07944,0.00292661,9.88131e-324,0.00156614,-1.07579,7.68496e-05,4.94066e-324,-9.81947e-05
1.049,-0.000316095,4.94066e-324,0.00169304,-1.07291,5.35372e-05,4.94066e-324,-3.32826e-06
1.10662,-0.00142294,4.94066e-324,-0.00244821,-1.07598,0.000100755,0,7.3296e-05
1.13743,-0.00126704,4.94066e-324,0.000871053,-1.07667,4.92357e-05,0,-7.88828e-05
1.07606,0.000691846,0,0.00265512,-1.08018,6.49263e-05,0,-1.63202e-05
1.09883,0.000482335,4.94066e-324,0.000268642,-1.07717,-0.001.05667,-0.000962227,1.07848,0.000219097,4.94066e-324,-0.000690984,-11.0613,0.000383965,0,-0.00053345,-1.03661,-0.00189779,0,-0.000872244,1.0512,-0.00317669,0,1.65904e-06,-1.10403,0.00210631,0,-0.000737469,1.06004,0.000177303,-0,-0.0004425081.11412,0.000113485,0,0.000160947,-1.1.12882,0.00074356,-0,0.0007785931.11295,-0.000359227,0,-0.000687353,-1.07572,3.04586e-05,0,4.00435e-05
1.09573,0.000555989,0,-0.000822016,-1.07471,-7.73383e-05,0,7.43017e-05
1.04368,0.000641709,0,-0.00135977,-1.07531,0.000131678,0,-0.000141911
1.06364,0.00017299,0,0.000783693,-1.07548,-6.74994e-05,0,-2.79313e-05
1.0738,0.0013433,0,0.00138281,-1.07729,1.27943e-05,0,-6.08694e-05
1.05467,-0.000845334,0,0.00296022,-1.07987,2.64215e-05,0,5.7183e-05
1.05947,-7.77201e-05,-0,-0.00266065,-1.07688,-3.36981e-05,0,3.96099e-05
1.09035,-0.00112807,0,4.28143e-05,-1.07564,0.000105412,0,-5.76726e-05
1.05733,-0.000377496,0,-0.000215276,-1.07408,-0.000108085,0,1.51701e-07
1.09471,0.00195039,0,0.00115076,-1.07603,6.26796e-05,0,-6.47613e-05
1.10875,0.00112037,0,0.000736237,-1.07505,7.92035e-05,0,1.76324e-05
1.04994,-0.000209415,0,5.76778e-05,-1.07756,-5.23698e-06,0,0.000113157
1.05286,0.00160949,0,0.000183002,-1.07629,-4.22399e-05,0,-1.21717e-05
1.10335,0.00128054,-0,-0.00135592,-1.07505,6.97935e-05,0,7.35213e-05
1.10339,0.000656257,0,0.000358035,-1.07759,-8.21898e-06,0,3.42698e-05
1.1131,-0.00117055,-0,0.00206129,-1.07645,2.50126e-05,0,-7.64584e-05
