tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.582217,-0.00637549,-0.000721578,0.00219058,2.29392,0.0256396,-9.83249e-05,-0.00461732,2.29407
-0.576451,-0.00760533,-0.000573516,0.00191608,2.28851,0.0348879,0.000317877,-0.00738801,2.28879
-0.578623,-0.00795354,-0.00319991,-0.00057606,2.29232,0.0322885,0.00929382,0.00105735,2.29257
-0.567853,-0.00791659,-0.00118181,0.00164333,2.28966,0.036753,0.00251989,-0.00258996,2.28996
-0.579032,-0.00641987,0.00310965,0.00075228,2.29431,0.0312411,-0.0115679,-0.00527918,2.29456
-0.578648,-0.00698862,0.00220904,0.00409413,2.29138,0.0227013,-0.00985008,-0.021056,2.29161
-0.582355,-0.00198163,0.00119345,0.00467631,2.28624,0.014078,-0.00601733,-0.0255447,2.28644
-0.575206,-0.00508251,0.00194921,0.00303105,2.29453,0.0189331,-0.009444,-0.0146822,2.29468
-0.575794,-0.00404348,0.00369944,0.00301403,2.29492,0.0172229,-0.0128564,-0.0188985,2.2951
-0.570154,-0.00275563,0.000511241,0.00440684,2.29485,0.0135246,-0.00634415,-0.0244387,2.29502
-0.576584,-0.00324499,0.00172244,0.00745608,2.28531,0.0150996,-0.00859235,-0.0307116,2.28559
-0.576961,-0.0060224,0.00169981,0.00902614,2.29418,0.0252294,-0.0050344,-0.0433305,2.29473
-0.580113,-0.00730051,0.00196382,0.00519216,2.29064,0.0281044,-0.0110647,-0.0224181,2.29095
-0.570557,-0.00772965,0.0038578,0.00362152,2.29793,0.0378372,-0.0145686,-0.0156734,2.29834
-0.570423,-0.0123807,0.00519681,0.000339441,2.29438,0.0523034,-0.0229719,-0.0080361,2.29511
-0.577589,-0.0119578,0.00554409,0.00135671,2.29234,0.0490532,-0.0249407,-0.0059876,2.29301
-0.570877,-0.0102197,0.00494548,0.000170154,2.2823,0.0478524,-0.0208281,-0.00225267,2.28289
-0.569011,-0.0118711,0.0067818,0.00144427,2.28073,0.0500408,-0.0326669,-0.013239,2.28155
-0.58255,-0.00843085,0.00602685,0.00349952,2.28688,0.039411,-0.032477,-0.0181995,2.28752
-0.576085,-0.00699576,0.00762824,0.00168972,2.2836,0.0352347,-0.0333659,-0.00757457,2.28412
-0.579522,-0.00465574,0.00611089,0.00100502,2.29604,0.0230892,-0.0264563,-0.0113873,2.29634
-0.572403,-0.00448574,0.00717232,0.0020255,2.29786,0.0158132,-0.030342,-0.00792416,2.29813
-0.577006,-0.0019819,0.00802599,0.00091858,2.29424,0.00912224,-0.0345329,-0.00502452,2.29453
-0.57846,-0.00187377,0.00603763,0.00405191,2.29435,0.00996979,-0.0300741,-0.0169582,2.29463
-0.580146,-0.00266778,0.00660743,0.00329551,2.29513,0.0117914,-0.0321605,-0.0210953,2.29548
-0.588247,-0.00172215,0.00591694,0.00530634,2.28968,0.00531606,-0.0317799,-0.0264753,2.29006
-0.575517,-0.00286921,0.00891155,0.00799917,2.29802,0.0148005,-0.0320852,-0.0312111,2.29851
